version:v1.0
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Office [physicalDeliveryOfficeName]
Elin Ulvestad,elin.ulvestad@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Elin,Ulvestad,Daglig leder,Ledelse,NO,Oslo
Jørgen Vartdal,jorgen.vartdal@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Jørgen,Vartdal,Økonomisjef,Ledelse,NO,Oslo
Åsa Alnes,asa.alnes@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Åsa,Alnes,Teknisk sjef,Ledelse,NO,Oslo
Steinar Haugland,steinar.haugland@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Steinar,Haugland,Salgssjef,Salg og prosjekt,NO,Oslo
Ingrid Kalstad,ingrid.kalstad@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Ingrid,Kalstad,Prosjektleder,Salg og prosjekt,NO,Oslo
Håvard Tennfjord,havard.tennfjord@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Håvard,Tennfjord,Prosjektleder,Salg og prosjekt,NO,Oslo
Geir Eikrem,geir.eikrem@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Geir,Eikrem,Prosjektleder,Salg og prosjekt,NO,Oslo
Silje Gjerde,silje.gjerde@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Silje,Gjerde,Salgsingeniør,Salg og prosjekt,NO,Oslo
Randi Walstad,randi.walstad@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Randi,Walstad,Salgsingeniør,Salg og prosjekt,NO,Oslo
Torstein Vollan,torstein.vollan@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Torstein,Vollan,Konstruksjonsleder,Konstruksjon,NO,Oslo
Tuva Fjeld,tuva.fjeld@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Tuva,Fjeld,Konstruktør,Konstruksjon,NO,Oslo
Bjørn Blindheim,bjorn.blindheim@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Bjørn,Blindheim,Konstruktør,Konstruksjon,NO,Oslo
Ola Ellingsen,ola.ellingsen@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Ola,Ellingsen,Konstruktør,Konstruksjon,NO,Oslo
Hanne Nybø,hanne.nybo@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Hanne,Nybø,Konstruktør,Konstruksjon,NO,Oslo
Øyvind Berge,oyvind.berge@nordvikmarine.onmicrosoft.com,IkkePublisert123!,No,Øyvind,Berge,Konstruktør,Konstruksjon,NO,Oslo
